Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Antonio,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0
Gilles,http://ufcstats.com/fighter-details/2dea80c069847321,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0
Veta,http://ufcstats.com/fighter-details/91e3388e69060e69,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0
Cesar,http://ufcstats.com/fighter-details/49f78022126bf4a4,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0
Kai,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,Asakura,,"5' 8""",125 lbs.,"69.0""",Orthodox,21,5,0
Teddy,http://ufcstats.com/fighter-details/a373085066dbfb54,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0
Arman,http://ufcstats.com/fighter-details/d26a0988c9dc9886,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1
Yanal,http://ufcstats.com/fighter-details/c739c2995a275314,Ashmouz,Red Fox,"5' 9""",155 lbs.,"69.0""",Orthodox,8,1,0
,http://ufcstats.com/fighter-details/8be9deb7d6b36354,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0
Askar,http://ufcstats.com/fighter-details/2abc414136504554,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0
